id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt6765780,The Last Midnight,N/A,USA,"Adventure, Drama, Fantasy, Musical, Thriller",N/A,N/A,N/A,N/A,7.8,NA,59 min,movie,10
tt3188546,The Last Night Inn,N/A,USA,"Comedy, Crime, Drama",John Heath,N/A,N/A,N/A,N/A,NA,86 min,movie,N/A
tt6133196,The Last Note,N/A,USA,"Drama, Mystery",Robert Zameroski,N/A,N/A,N/A,N/A,NA,53 min,movie,N/A
tt3051944,The Last Punch,N/A,USA,Drama,Jesse Vaughan,N/A,N/A,N/A,N/A,NA,98 min,movie,N/A
tt5320002,The Last Smile,N/A,USA,"Biography, Drama, Mystery",Shankey Srinivasan,N/A,N/A,N/A,N/A,NA,87 min,movie,N/A
tt3583430,The Last Straw,N/A,USA,Comedy,Stolis Hadjicharalambous,N/A,N/A,N/A,N/A,NA,100 min,movie,N/A
tt5840964,The Last Time,N/A,USA,"Animation, Drama, Thriller",Justin Poage,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2669286,The Last Tour,N/A,USA,"Action, Adventure",Ryun Yu,N/A,N/A,N/A,N/A,NA,80 min,movie,N/A
tt3163244,The Last Treasure Hunt,N/A,USA,"Adventure, Drama, Family",Patrick Biesemans,N/A,N/A,Not Rated,4.2,NA,99 min,movie,108
tt1588878,The Late Bloomer,N/A,USA,"Comedy, Drama, Romance",Kevin Pollak,34,Warner Bros.,R,5.2,NA,90 min,movie,"7,360"
tt4487910,The Legend of Hip Hop,N/A,USA,N/A,Jibril Haynes,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt0918940,The Legend of Tarzan,"$126,585,313","UK, Canada, USA","Action, Adventure, Drama, Fantasy, Romance",David Yates,44,Lionsgate Pictures,PG-13,6.2,36%,110 min,movie,"154,377"
tt5432182,The Legend of Zelda Oblivion Rising,N/A,USA,Fantasy,Scotty Whitehurst,N/A,N/A,N/A,N/A,NA,152 min,movie,N/A
tt3856300,The Lennon Report,N/A,USA,"Biography, Drama, History",Jeremy Profe,N/A,N/A,PG-13,5.9,57%,87 min,movie,706
tt4109998,The Lessee,N/A,USA,"Drama, Romance",Teli Share,N/A,N/A,NOT RATED,5.2,NA,96 min,movie,9
tt3607038,The Life and Death of Julian Finn,N/A,USA,"Short, Drama, Family",Erin Dinsmore,N/A,N/A,N/A,6.4,NA,48 min,movie,10
tt5119584,The Life of Flowers,N/A,"Bosnia and Herzegovina, USA",N/A,Jimmy Bontatibus,N/A,N/A,N/A,N/A,NA,83 min,movie,N/A
tt6011096,The Light,N/A,USA,Horror,Jon Gillette,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2547584,The Light Between Oceans,"$12,533,911","UK, New Zealand, USA, India","Drama, Romance",Derek Cianfrance,60,Dreamworks Pictures,PG-13,7.2,62%,133 min,movie,"48,115"
tt5500390,The Light Express,N/A,USA,"Comedy, Fantasy, Musical",Pamela Lockwood,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4081846,The Lincoln,N/A,USA,Thriller,Stephanie Paris,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3543976,The Lion,N/A,USA,Drama,Daryl E. Hall,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5138834,The Liq,N/A,USA,Adventure,Benson Bey,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4566616,The List & Other Rubbish,N/A,USA,"Comedy, Romance",David Sims,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt6257674,The Listener,N/A,USA,"Drama, Sci-Fi",Robert Shelby,N/A,N/A,N/A,N/A,NA,90 min,movie,N/A
tt5264738,The Living,N/A,USA,Thriller,Dennis Dimster,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4629690,The Lobby,N/A,USA,Drama,Fathia Absie,N/A,N/A,N/A,N/A,NA,56 min,movie,N/A
tt1846773,The Local 504,N/A,USA,Action,Renso Amariz,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5198018,The Lone Hunter,N/A,USA,Western,Richard Johanson,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4328978,The Lone Road,N/A,USA,"Action, Horror, Thriller",Christopher Krueger,N/A,N/A,N/A,N/A,NA,84 min,movie,N/A
tt3261182,The Lonely Italian,N/A,USA,"Documentary, Comedy",Lee Farber,N/A,N/A,N/A,8.0,NA,83 min,movie,16
tt4831810,The Persian Connection,N/A,USA,"Action, Crime, Mystery, Thriller",Daniel Grove,49,Samuel Goldwyn Films,N/A,5.0,63%,103 min,movie,255
tt5043430,The Lonesome Curse,N/A,USA,Horror,Joshua Randell,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5903964,The Long Count Teaser,N/A,USA,"History, Sport",Chris Tasara,N/A,N/A,N/A,9.2,NA,N/A,movie,5
tt1212428,The Lost City of Z,"$8,554,554",USA,"Biography, Drama, History",James Gray,78,Amazon Studios/Bleecker Street Media,PG-13,6.6,86%,141 min,movie,"69,931"
tt2368606,The Lost Tree,N/A,USA,"Drama, Horror, Thriller",Brian A. Metcalf,N/A,N/A,N/A,7.8,NA,88 min,movie,70
tt3908142,The Love Witch,"$226,223",USA,"Comedy, Horror, Romance, Thriller",Anna Biller,82,Oscilloscope Laboratories,Unrated,6.2,95%,120 min,movie,"10,464"
tt5796986,The Lover,N/A,USA,"Drama, Romance",Mahmoud Shoolizadeh,N/A,N/A,N/A,4.3,NA,60 min,movie,7
tt4724542,The Lunatic'ler,N/A,USA,Horror,Pete Jacelone,N/A,N/A,N/A,N/A,NA,88 min,movie,N/A
tt5371404,The M.F.U.T.,N/A,USA,Drama,N/A,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5349722,The Maestro,N/A,USA,"Comedy, Drama",David Lunday,N/A,N/A,N/A,N/A,NA,86 min,movie,N/A
tt1578270,The Magic Stone,N/A,USA,Thriller,Edgar Michael Bravo,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt6175856,The Magnanimous MOOve,N/A,USA,Animation,N/A,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5739784,The Magnificent Kaaboom!!! VHS,N/A,USA,Animation,Zachary Whitmore,N/A,N/A,N/A,N/A,NA,46 min,movie,N/A
tt2404435,The Magnificent Seven,"$93,381,044",USA,"Action, Adventure, Western",Antoine Fuqua,54,Sony Pictures,PG-13,6.9,63%,132 min,movie,"173,387"
tt3079222,The Man Who Was Thursday,N/A,"USA, Hungary, Italy, Romania","Mystery, Thriller",Balazs Juszt,N/A,Moviebar Productions,N/A,5.0,NA,95 min,movie,212
tt5355706,The Man from Ruin,N/A,USA,"Drama, Sci-Fi",Joel Shelton,N/A,N/A,N/A,N/A,NA,88 min,movie,N/A
tt0932667,The Man in the Silo,N/A,USA,Drama,Phil Donlon,N/A,N/A,N/A,6.0,NA,55 min,movie,109
tt6029056,The Man with Elephant Hands,N/A,USA,"Comedy, Drama, Romance",Banks Helfrich,N/A,N/A,N/A,N/A,NA,81 min,movie,N/A
tt3734354,The Cleanse,N/A,"Canada, USA","Comedy, Drama, Fantasy, Horror",Bobby Miller,58,Bron Studios,R,5.4,82%,81 min,movie,"1,334"
tt4269746,The Matchbreaker,N/A,USA,"Comedy, Romance",Caleb Vetter,N/A,Vetter Brothers Filmworks,PG,5.6,NA,94 min,movie,"2,415"
tt5132568,The Measure of Your Faith,N/A,USA,Drama,Jonathan Williams,N/A,N/A,N/A,N/A,NA,105 min,movie,N/A
tt5680948,The Meet,N/A,USA,"Short, Comedy",Diana Trejo,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5886412,The Memestar Chronicles Big Screen Film,N/A,USA,Comedy,Kevin Verboczki,N/A,N/A,N/A,N/A,NA,94 min,movie,N/A
tt5812360,The Mermaid Princess,N/A,USA,Animation,Adam Qiu,N/A,N/A,N/A,4.4,NA,77 min,movie,71
tt4088550,The Merry Maids of Madness,N/A,USA,"Comedy, Fantasy",Phillip Hughes,N/A,N/A,N/A,N/A,NA,99 min,movie,N/A
tt3685586,The Midnight Man,N/A,USA,"Comedy, Crime, Thriller",D.C. Hamilton,N/A,Midnight Man Film,Not Rated,5.0,NA,105 min,movie,698
tt5629964,The Midnight Man,N/A,"USA, Canada",Horror,Travis Zariwny,N/A,Midnight Man Film,Not Rated,4.8,NA,95 min,movie,"2,717"
tt5768404,The Midnight Show,N/A,USA,Horror,Jason Hawkins,N/A,N/A,N/A,N/A,NA,96 min,movie,N/A
tt2938066,The Midnighters,N/A,USA,"Crime, Drama, Thriller",Julian Fort,N/A,The Midnighters,N/A,7.4,NA,86 min,movie,76
tt4678654,The Miller Prediction,N/A,USA,"Action, Drama, History",Javier Ronceros,N/A,Radiant Century Productions,N/A,7.6,NA,80 min,movie,11
tt3746040,The Mistover Tale,N/A,USA,Drama,Harry Tappan Heher,N/A,N/A,N/A,N/A,NA,98 min,movie,N/A
tt6156136,The Misty Green Sky,N/A,USA,Sci-Fi,Jack Foster,N/A,N/A,N/A,4.5,NA,81 min,movie,17
tt9692040,The Monkey King: The Legend Begins,N/A,"China, USA",Fantasy,Soi Cheang,N/A,N/A,N/A,5.7,NA,90 min,movie,40
tt5057588,After the Sun Fell,N/A,USA,Drama,Tony Glazer,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt6209344,The Most Dangerous Game,N/A,USA,Action,Andrew Legatt,N/A,N/A,N/A,N/A,NA,63 min,movie,N/A
tt4265444,The Motion of the Sun,N/A,USA,Drama,Marc Taurisano,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt6034258,The NBL,N/A,USA,Comedy,Micah Minor,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5741952,The New Doctrine,N/A,USA,"Comedy, Drama",Kitsann Means,N/A,N/A,N/A,N/A,NA,112 min,movie,N/A
tt5057626,The New York Butcher,N/A,USA,"Crime, Horror, Mystery",Sean Weathers,N/A,N/A,N/A,5.6,NA,60 min,movie,16
tt4457852,Untitled Brody Gusar Project,N/A,USA,Comedy,Brody Gusar,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3799694,The Nice Guys,"$32,261,515",USA,"Action, Comedy, Crime, Mystery, Thriller",Shane Black,70,Warner Bros. Pictures,R,7.4,93%,116 min,movie,"251,644"
tt5458888,The Night Shift,N/A,USA,Horror,Massimiliano Cerchi,N/A,N/A,N/A,2.9,NA,63 min,movie,95
tt5459412,The Night Shift: Book 2,N/A,USA,Action,Kelly Weaver,N/A,N/A,N/A,N/A,NA,160 min,movie,N/A
tt1821657,The Night Stalker,N/A,USA,"Crime, Drama, Mystery, Thriller",Megan Griffiths,N/A,N/A,TV-14,5.9,100%,89 min,movie,547
tt2983922,The Night Visitor 2: Heather's Story,N/A,USA,Sci-Fi,Brianne Davis,N/A,N/A,N/A,5.3,NA,69 min,movie,42
tt5489164,The Night of Medusa,N/A,USA,"Fantasy, Horror, Mystery",Joshua Kennedy,N/A,N/A,N/A,N/A,NA,66 min,movie,N/A
tt2515134,The North Star,N/A,USA,Drama,Thomas K. Phillips,N/A,N/A,N/A,5.5,NA,88 min,movie,17
tt5942280,The Nothing Movie,N/A,USA,Drama,Stan McClintock,N/A,N/A,N/A,N/A,NA,"1,559 min",movie,N/A
